sid,name,iso_time,lat,lon,wind_kt
2020211N14124,SINLAKU,2020-08-01 00:00:00,18.1,110.5,30
2020211N14124,SINLAKU,2020-08-01 03:00:00,18.4,109.7,33
2020211N14124,SINLAKU,2020-08-01 06:00:00,18.6,108.9,35
2020211N14124,SINLAKU,2020-08-01 09:00:00,18.8,108.3,35
2020211N14124,SINLAKU,2020-08-01 12:00:00,18.9,107.8,35
2020211N14124,SINLAKU,2020-08-01 15:00:00,19.0,107.4,38
2020211N14124,SINLAKU,2020-08-01 18:00:00,19.1,107.1,40
2020211N14124,SINLAKU,2020-08-01 21:00:00,19.2,106.7,43
2020211N14124,SINLAKU,2020-08-02 00:00:00,19.3,106.4,45
2020211N14124,SINLAKU,2020-08-02 03:00:00,19.5,106.2,45
2020211N14124,SINLAKU,2020-08-02 06:00:00,19.6,105.9,45
2020211N14124,SINLAKU,2020-08-02 09:00:00,19.6,105.4,38
2020211N14124,SINLAKU,2020-08-02 12:00:00,19.5,104.8,30
2020211N14124,SINLAKU,2020-08-02 15:00:00,19.4,104.0,25
2020211N14124,SINLAKU,2020-08-02 18:00:00,19.4,103.4,20
2020211N14124,SINLAKU,2020-08-02 21:00:00,19.6,102.7, 
2020211N14124,SINLAKU,2020-08-03 00:00:00,19.8,102.1, 
2020213N15131,HAGUPIT,2020-08-01 00:00:00,20.0,128.9,30
2020213N15131,HAGUPIT,2020-08-01 03:00:00,20.5,128.4,30
2020213N15131,HAGUPIT,2020-08-01 06:00:00,20.8,127.9,30
2020213N15131,HAGUPIT,2020-08-01 09:00:00,21.1,127.4,30
2020213N15131,HAGUPIT,2020-08-01 12:00:00,21.3,127.0,30
2020213N15131,HAGUPIT,2020-08-01 15:00:00,21.7,126.5,33
2020213N15131,HAGUPIT,2020-08-01 18:00:00,22.0,125.9,35
2020213N15131,HAGUPIT,2020-08-01 21:00:00,22.3,125.5,35
2020213N15131,HAGUPIT,2020-08-02 00:00:00,22.5,125.1,35
2020213N15131,HAGUPIT,2020-08-02 03:00:00,22.8,124.8,38
2020213N15131,HAGUPIT,2020-08-02 06:00:00,23.1,124.6,40
2020213N15131,HAGUPIT,2020-08-02 09:00:00,23.3,124.4,43
2020213N15131,HAGUPIT,2020-08-02 12:00:00,23.6,124.2,45
2020213N15131,HAGUPIT,2020-08-02 15:00:00,23.9,124.1,50
2020213N15131,HAGUPIT,2020-08-02 18:00:00,24.2,123.9,55
2020213N15131,HAGUPIT,2020-08-02 21:00:00,24.5,123.7,58
2020213N15131,HAGUPIT,2020-08-03 00:00:00,25.0,123.4,60
2020213N15131,HAGUPIT,2020-08-03 03:00:00,25.5,123.0,65
2020213N15131,HAGUPIT,2020-08-03 06:00:00,26.2,122.5,70
2020213N15131,HAGUPIT,2020-08-03 09:00:00,26.5,122.1,73
2020213N15131,HAGUPIT,2020-08-03 12:00:00,26.8,121.7,75
2020213N15131,HAGUPIT,2020-08-03 15:00:00,27.2,121.4,75
2020213N15131,HAGUPIT,2020-08-03 18:00:00,27.7,121.1,75
2020213N15131,HAGUPIT,2020-08-03 21:00:00,28.2,120.9,63
2020213N15131,HAGUPIT,2020-08-04 00:00:00,28.6,120.6,50
2020213N15131,HAGUPIT,2020-08-04 03:00:00,29.1,120.5,40
2020213N15131,HAGUPIT,2020-08-04 06:00:00,29.6,120.4,30
2020213N15131,HAGUPIT,2020-08-04 09:00:00,30.1,120.3,28
2020213N15131,HAGUPIT,2020-08-04 12:00:00,30.8,120.3,25
2020213N15131,HAGUPIT,2020-08-04 15:00:00,31.6,120.5,25
2020213N15131,HAGUPIT,2020-08-04 18:00:00,32.4,120.6,25
2020213N15131,HAGUPIT,2020-08-04 21:00:00,33.3,120.6,23
2020213N15131,HAGUPIT,2020-08-05 00:00:00,34.0,120.8,20
2020213N15131,HAGUPIT,2020-08-05 03:00:00,34.6,121.1,20
2020213N15131,HAGUPIT,2020-08-05 06:00:00,35.1,121.4,20
2020213N15131,HAGUPIT,2020-08-05 09:00:00,35.8,121.9,20
2020213N15131,HAGUPIT,2020-08-05 12:00:00,36.5,122.6,20
2020213N15131,HAGUPIT,2020-08-05 15:00:00,37.3,123.6,18
2020213N15131,HAGUPIT,2020-08-05 18:00:00,38.1,124.9,15
2020213N15131,HAGUPIT,2020-08-05 21:00:00,38.8,126.5,20
2020213N15131,HAGUPIT,2020-08-06 00:00:00,39.5,128.2,25
2020213N15131,HAGUPIT,2020-08-06 03:00:00,40.4,130.2, 
2020213N15131,HAGUPIT,2020-08-06 06:00:00,41.2,132.2, 
2020213N15131,HAGUPIT,2020-08-06 09:00:00,41.7,133.7, 
2020213N15131,HAGUPIT,2020-08-06 12:00:00,42.2,134.8, 
2020213N15131,HAGUPIT,2020-08-06 15:00:00,42.6,135.8, 
2020213N15131,HAGUPIT,2020-08-06 18:00:00,43.0,136.9, 
2020213N15131,HAGUPIT,2020-08-06 21:00:00,43.5,138.2, 
2020213N15131,HAGUPIT,2020-08-07 00:00:00,44.0,139.7, 
2020213N15131,HAGUPIT,2020-08-07 03:00:00,44.4,141.2, 
2020213N15131,HAGUPIT,2020-08-07 06:00:00,45.1,142.8, 
2020213N15131,HAGUPIT,2020-08-07 09:00:00,45.9,144.3, 
2020213N15131,HAGUPIT,2020-08-07 12:00:00,46.8,145.8, 
2020213N15131,HAGUPIT,2020-08-07 15:00:00,47.2,146.9, 
2020213N15131,HAGUPIT,2020-08-07 18:00:00,47.5,147.9, 
2020213N15131,HAGUPIT,2020-08-07 21:00:00,47.9,149.2, 
2020213N15131,HAGUPIT,2020-08-08 00:00:00,48.3,150.6, 
2020213N15131,HAGUPIT,2020-08-08 03:00:00,48.6,152.3, 
2020213N15131,HAGUPIT,2020-08-08 06:00:00,49.1,153.9, 
2020213N15131,HAGUPIT,2020-08-08 09:00:00,49.7,155.0, 
2020213N15131,HAGUPIT,2020-08-08 12:00:00,50.3,156.0, 
2020213N15131,HAGUPIT,2020-08-08 15:00:00,50.4,157.2, 
2020213N15131,HAGUPIT,2020-08-08 18:00:00,50.4,158.4, 
2020213N15131,HAGUPIT,2020-08-08 21:00:00,50.4,159.5, 
2020213N15131,HAGUPIT,2020-08-09 00:00:00,50.4,160.5, 
2020213N15131,HAGUPIT,2020-08-09 03:00:00,50.6,161.5, 
2020213N15131,HAGUPIT,2020-08-09 06:00:00,50.7,162.5, 
2020213N15131,HAGUPIT,2020-08-09 09:00:00,50.8,163.5, 
2020213N15131,HAGUPIT,2020-08-09 12:00:00,50.8,164.6, 
2020213N15131,HAGUPIT,2020-08-09 15:00:00,50.8,165.7, 
2020213N15131,HAGUPIT,2020-08-09 18:00:00,50.9,167.0, 
2020213N15131,HAGUPIT,2020-08-09 21:00:00,50.9,168.1, 
2020213N15131,HAGUPIT,2020-08-10 00:00:00,50.9,169.2, 
2020213N15131,HAGUPIT,2020-08-10 03:00:00,50.9,170.1, 
2020213N15131,HAGUPIT,2020-08-10 06:00:00,50.9,170.9, 
2020213N15131,HAGUPIT,2020-08-10 09:00:00,51.0,171.8, 
2020213N15131,HAGUPIT,2020-08-10 12:00:00,51.1,172.6, 
2020213N15131,HAGUPIT,2020-08-10 15:00:00,51.2,173.4, 
2020213N15131,HAGUPIT,2020-08-10 18:00:00,51.4,174.1, 
2020213N15131,HAGUPIT,2020-08-10 21:00:00,51.6,174.8, 
2020213N15131,HAGUPIT,2020-08-11 00:00:00,51.7,175.5, 
2020213N15131,HAGUPIT,2020-08-11 03:00:00,51.8,176.2, 
2020213N15131,HAGUPIT,2020-08-11 06:00:00,52.0,176.9, 
2020213N15131,HAGUPIT,2020-08-11 09:00:00,52.0,177.5, 
2020213N15131,HAGUPIT,2020-08-11 12:00:00,52.1,178.2, 
2020213N15131,HAGUPIT,2020-08-11 15:00:00,52.2,178.8, 
2020213N15131,HAGUPIT,2020-08-11 18:00:00,52.2,179.4, 
2020213N15131,HAGUPIT,2020-08-11 21:00:00,52.3,179.8, 
2020213N15131,HAGUPIT,2020-08-12 00:00:00,52.3,180.1, 
2020213N15131,HAGUPIT,2020-08-12 03:00:00,52.4,180.2, 
2020213N15131,HAGUPIT,2020-08-12 06:00:00,52.3,180.7, 
2020220N14128,JANGMI,2020-08-06 18:00:00,14.2,127.5, 
2020220N14128,JANGMI,2020-08-06 21:00:00,14.5,127.4, 
2020220N14128,JANGMI,2020-08-07 00:00:00,14.7,127.3, 
2020220N14128,JANGMI,2020-08-07 03:00:00,14.9,127.2, 
2020220N14128,JANGMI,2020-08-07 06:00:00,15.2,126.9, 
2020220N14128,JANGMI,2020-08-07 09:00:00,15.5,126.7, 
2020220N14128,JANGMI,2020-08-07 12:00:00,15.7,126.7, 
2020220N14128,JANGMI,2020-08-07 15:00:00,16.0,126.8, 
2020220N14128,JANGMI,2020-08-07 18:00:00,16.3,126.9, 
2020220N14128,JANGMI,2020-08-07 21:00:00,16.6,126.9, 
2020220N14128,JANGMI,2020-08-08 00:00:00,17.0,126.9,20
2020220N14128,JANGMI,2020-08-08 03:00:00,17.5,126.7,20
2020220N14128,JANGMI,2020-08-08 06:00:00,18.0,126.5,20
2020220N14128,JANGMI,2020-08-08 09:00:00,18.6,126.4,23
2020220N14128,JANGMI,2020-08-08 12:00:00,19.3,126.3,25
2020220N14128,JANGMI,2020-08-08 15:00:00,20.1,126.3,28
2020220N14128,JANGMI,2020-08-08 18:00:00,21.0,126.2,30
2020220N14128,JANGMI,2020-08-08 21:00:00,21.9,126.1,30
2020220N14128,JANGMI,2020-08-09 00:00:00,23.0,126.1,30
2020220N14128,JANGMI,2020-08-09 03:00:00,24.1,126.1,33
2020220N14128,JANGMI,2020-08-09 06:00:00,25.3,126.2,35
2020220N14128,JANGMI,2020-08-09 09:00:00,26.4,126.2,38
2020220N14128,JANGMI,2020-08-09 12:00:00,27.5,126.2,40
2020220N14128,JANGMI,2020-08-09 15:00:00,28.5,126.3,40
2020220N14128,JANGMI,2020-08-09 18:00:00,29.6,126.6,40
2020220N14128,JANGMI,2020-08-09 21:00:00,30.9,127.1,38
2020220N14128,JANGMI,2020-08-10 00:00:00,32.2,127.6,35
2020220N14128,JANGMI,2020-08-10 03:00:00,33.3,128.1,35
2020220N14128,JANGMI,2020-08-10 06:00:00,34.6,128.6,35
2020220N14128,JANGMI,2020-08-10 09:00:00,35.9,129.2,35
2020220N14128,JANGMI,2020-08-10 12:00:00,37.1,129.9,35
2020220N14128,JANGMI,2020-08-10 15:00:00,38.4,130.9,35
2020220N14128,JANGMI,2020-08-10 18:00:00,39.8,132.2,35
2020220N14128,JANGMI,2020-08-10 21:00:00,41.4,133.9,35
2020220N14128,JANGMI,2020-08-11 00:00:00,42.8,135.9,35
2020220N14128,JANGMI,2020-08-11 03:00:00,43.7,137.7, 
2020220N14128,JANGMI,2020-08-11 06:00:00,44.4,139.5, 
2020220N14128,JANGMI,2020-08-11 09:00:00,45.3,141.4, 
2020220N14128,JANGMI,2020-08-11 12:00:00,46.2,143.5, 
2020220N14128,JANGMI,2020-08-11 15:00:00,46.8,145.8, 
2020220N14128,JANGMI,2020-08-11 18:00:00,47.2,148.0, 
2020220N14128,JANGMI,2020-08-11 21:00:00,47.5,150.1, 
2020220N14128,JANGMI,2020-08-12 00:00:00,47.7,151.8, 
2020220N14128,JANGMI,2020-08-12 03:00:00,47.9,152.8, 
2020220N14128,JANGMI,2020-08-12 06:00:00,48.2,153.6, 
2020220N14128,JANGMI,2020-08-12 09:00:00,48.4,154.4, 
2020220N14128,JANGMI,2020-08-12 12:00:00,48.7,155.3, 
2020220N14128,JANGMI,2020-08-12 15:00:00,48.9,156.4, 
2020220N14128,JANGMI,2020-08-12 18:00:00,49.0,157.5, 
2020220N14128,JANGMI,2020-08-12 21:00:00,49.2,158.2, 
2020220N14128,JANGMI,2020-08-13 00:00:00,49.4,158.8, 
2020220N14128,JANGMI,2020-08-13 03:00:00,49.5,159.2, 
2020220N14128,JANGMI,2020-08-13 06:00:00,49.5,159.6, 
2020220N14128,JANGMI,2020-08-13 09:00:00,49.5,159.9, 
2020220N14128,JANGMI,2020-08-13 12:00:00,49.4,160.2, 
2020220N14128,JANGMI,2020-08-13 15:00:00,49.3,160.7, 
2020220N14128,JANGMI,2020-08-13 18:00:00,49.3,161.2, 
2020220N14128,JANGMI,2020-08-13 21:00:00,49.2,161.7, 
2020220N14128,JANGMI,2020-08-14 00:00:00,49.2,162.1, 
2020220N14128,JANGMI,2020-08-14 03:00:00,49.5,162.2, 
2020220N14128,JANGMI,2020-08-14 06:00:00,49.7,162.1, 
2020220N14128,JANGMI,2020-08-14 09:00:00,49.5,162.3, 
2020220N14128,JANGMI,2020-08-14 12:00:00,49.3,162.5, 
2020220N14128,JANGMI,2020-08-14 15:00:00,49.2,162.6, 
2020220N14128,JANGMI,2020-08-14 18:00:00,49.1,162.7, 
2020222N15117,MEKKHALA,2020-08-08 12:00:00,14.9,117.3,15
2020222N15117,MEKKHALA,2020-08-08 15:00:00,14.9,117.6,18
2020222N15117,MEKKHALA,2020-08-08 18:00:00,15.0,117.8,20
2020222N15117,MEKKHALA,2020-08-08 21:00:00,15.1,117.9,20
2020222N15117,MEKKHALA,2020-08-09 00:00:00,15.3,118.0,20
2020222N15117,MEKKHALA,2020-08-09 03:00:00,15.6,118.1,23
2020222N15117,MEKKHALA,2020-08-09 06:00:00,16.0,118.2,25
2020222N15117,MEKKHALA,2020-08-09 09:00:00,16.4,118.3,28
2020222N15117,MEKKHALA,2020-08-09 12:00:00,16.9,118.4,30
2020222N15117,MEKKHALA,2020-08-09 15:00:00,17.5,118.5,30
2020222N15117,MEKKHALA,2020-08-09 18:00:00,18.0,118.5,30
2020222N15117,MEKKHALA,2020-08-09 21:00:00,18.6,118.6,33
2020222N15117,MEKKHALA,2020-08-10 00:00:00,19.1,118.6,35
2020222N15117,MEKKHALA,2020-08-10 03:00:00,19.7,118.6,40
2020222N15117,MEKKHALA,2020-08-10 06:00:00,20.3,118.6,45
2020222N15117,MEKKHALA,2020-08-10 09:00:00,21.0,118.6,48
2020222N15117,MEKKHALA,2020-08-10 12:00:00,21.6,118.5,50
2020222N15117,MEKKHALA,2020-08-10 15:00:00,22.2,118.4,58
2020222N15117,MEKKHALA,2020-08-10 18:00:00,22.9,118.2,65
2020222N15117,MEKKHALA,2020-08-10 21:00:00,23.5,118.0,70
2020222N15117,MEKKHALA,2020-08-11 00:00:00,24.2,117.7,70
2020222N15117,MEKKHALA,2020-08-11 03:00:00,24.9,117.4,60
2020222N15117,MEKKHALA,2020-08-11 06:00:00,25.6,117.2,50
2020222N15117,MEKKHALA,2020-08-11 09:00:00,26.5,117.1,43
2020222N15117,MEKKHALA,2020-08-11 12:00:00,27.4,116.8,35
2020222N15117,MEKKHALA,2020-08-11 15:00:00,28.0,116.4,30
2020222N15117,MEKKHALA,2020-08-11 18:00:00,28.3,115.9,25
2020222N15117,MEKKHALA,2020-08-11 21:00:00,28.5,115.3,23
2020222N15117,MEKKHALA,2020-08-12 00:00:00,28.7,114.6,20
2020222N26149,UNNAMED,2020-08-09 00:00:00,25.8,148.9,25
2020222N26149,UNNAMED,2020-08-09 03:00:00,25.9,148.6,30
2020222N26149,UNNAMED,2020-08-09 06:00:00,26.0,148.3,35
2020222N26149,UNNAMED,2020-08-09 09:00:00,26.0,148.1,40
2020222N26149,UNNAMED,2020-08-09 12:00:00,26.1,147.8,45
2020222N26149,UNNAMED,2020-08-09 15:00:00,26.1,147.4,43
